Date,Month,Day,Year,Coach,Practice Status,Storm Status
10/10/17,10,10,2017,H,CT,R
10/11/17,10,11,2017,H,CT,N
10/12/17,10,12,2017,H,OTW,N
10/16/17,10,16,2017,H,OTW,N
10/17/17,10,17,2017,H,OTW,N
10/18/17,10,18,2017,H,OTW,N
10/19/17,10,19,2017,H,OTW,N
10/23/17,10,23,2017,H,OTW,N
10/25/17,10,25,2017,H,OTW,N
10/26/17,10,26,2017,H,OTW,N
10/30/17,10,30,2017,H,CT,N
10/31/17,10,31,2017,H,OTW,N
11/1/17,11,1,2017,H,OTW,R
11/2/17,11,2,2017,H,OTW,R
11/7/17,11,7,2017,H,OTW,N
11/8/17,11,8,2017,H,OTW,N
11/9/17,11,9,2017,H,OTW,N
4/5/18,4,5,2018,H,OTW,N
4/9/18,4,9,2018,H,OTW,S
4/10/18,4,10,2018,H,OTW,N
4/11/18,4,11,2018,H,OTW,N
4/12/18,4,12,2018,H,OTW,N
4/16/18,4,16,2018,H,CT,S
4/17/18,4,17,2018,H,OTW,N
4/18/18,4,18,2018,H,OTW,R
4/19/18,4,19,2018,H,OTW,N
4/23/18,4,23,2018,H,OTW,N
4/24/18,4,24,2018,H,OTW,N
4/25/18,4,25,2018,H,OTW,N
4/26/18,4,26,2018,H,OTW,N
4/30/18,4,30,2018,H,OTW,N
5/1/18,5,1,2018,H,OTW,N
5/2/18,5,2,2018,H,CT,T
5/3/18,5,3,2018,M,CT,T
5/7/18,5,7,2018,M,OTW,N
5/8/18,5,8,2018,M,OTW,N
5/10/18,5,10,2018,M,OTW,N
5/14/18,5,14,2018,R,CT,T
5/15/18,5,15,2018,H,OTW,N
5/16/18,5,16,2018,H,OTW,N
5/17/18,5,17,2018,H,OTW,N
5/21/18,5,21,2018,H,CT,R
5/22/18,5,22,2018,H,OTW,N
5/23/18,5,23,2018,H,OTW,N
5/24/18,5,24,2018,H,OTW,N
5/30/18,5,30,2018,H,CT,T
,,,,,,
