@RELATION stuff

@ATTRIBUTE date string
@ATTRIBUTE airtemp numeric
@ATTRIBUTE windspeed numeric
@ATTRIBUTE windgust numeric
@ATTRIBUTE winddir numeric
@ATTRIBUTE precipitation numeric
@ATTRIBUTE visibility numeric
@ATTRIBUTE storm_status {S,R,T,N}
@ATTRIBUTE coach {H,R,M,A,C}
@ATTRIBUTE practice_status {OTW, CT}

@DATA
10/5/2016,25.3,7.7,8.5,207,0.00,10,N,C,OTW
10/6/2016,20.6,4.7,5.4,163,0.12,9,R,C,OTW
10/10/2016,17.3,5.8,6.2,111,0.00,10,N,C,OTW
10/11/2016,21.1,10.4,10.8,185,0.0,10,N,C,OTW
10/13/2016,11.2,2.2,2.7,082,0.00,10,N,C,OTW
10/14/2016,17.5,7.0,8.4,159,0.00,10,N,C,OTW
10/17/2016,24.9,12.9,13.6,187,0.00,10,N,C,CT
10/18/2016,17.1,4.7,5.1,039,0.00,10,N,C,OTW
10/19/2016,16.3,4.8,5.1,032,0.08,10,N,C,OTW
10/20/2016,12.1,13.7,15.0,349,0.00,10,N,C,CT
10/24/2016,10.6,5.7,6.5,022,0.00,10,N,C,OTW
10/25/2016,11.5,4.8,5.2,139,0.0,10,N,C,OTW
10/26/2016,10.0,12.3,13.2,140,1.46,4,R,C,OTW
10/27/2016,9.5,4.0,4.6,309,0.00,9,N,C,OTW
10/28/2016,15.8,8.2,8.6,180,0.00,10,N,C,OTW
10/31/2016,12.8,7.8,9.2,145,0.00,10,N,C,OTW
11/1/2016,23.1,2.4,3.1,243,0.00,10,N,C,OTW
11/2/2016,14.9,4.1,4.3,128,0.44,6,T,C,CT
11/3/2016,12.3,2.9,3.3,108,0.00,7,N,C,OTW
11/4/2016,13.3,2.0,2.3,112,0.00,10,N,C,OTW
11/8/2016,12.3,12.3,13.2,015,0.04,10,N,C,CT
11/9/2016,11.7,1.0,1.2,353,0.00,10,N,C,CT
11/10/2016,17.0,9.7,12.5,242,0.00,10,N,C,OTW
11/14/2016,15.1,7.6,8.5,200,0.00,10,N,C,OTW
11/15/2016,10.7,2.7,3.0,021,0.00,5,N,C,OTW
3/27/2017,4.4,3.5,3.7,022,0.0,8,R,C,OTW
3/28/2017,3.4,8.4,8.8,001,0.00,9,N,C,OTW
3/29/2017,4.9,7.9,8.4,026,0.08,5,N,C,OTW
3/30/2017,4.7,10.3,11.3,027,1.57,7,R,C,CT
4/3/2017,6.5,1.6,1.8,095,0.72,6,R,C,OTW
4/4/2017,7.8,4.3,4.5,040,0.04,9,N,C,OTW
4/5/2017,4.7,14.3,16.4,023,1.11,6,R,C,CT
4/10/2017,15.0,9.7,11.3,194,0.54,8,T,C,CT
4/11/2017,10.4,6.8,7.5,255,0.00,6,N,C,OTW
4/12/2017,6.0,5.4,5.9,100,0.00,10,N,C,OTW
4/13/2017,7.6,2.2,2.9,034,0.18,10,N,C,OTW
4/17/2017,6.7,3.4,3.6,359,0.00,10,N,C,OTW
4/18/2017,19.9,8.5,9.1,178,0.00,10,N,C,OTW
4/19/2017,8.1,7.6,8.2,055,0.01,9,N,C,OTW
4/20/2017,18.2,11.5,13.1,244,0.03,10,N,C,OTW
4/24/2017,9.8,0.7,1.0,002,0.00,10,N,C,OTW
4/25/2017,18.1,9.4,9.7,109,0.00,10,N,C,OTW
4/26/2017,22.1,10.3,11.9,215,0.19,10,N,C,OTW
